index,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,animal_Type,Sex_upon_Outcome,Age_upon_Outcome,Breed,Color,Medicine
2298,*Dale,11/10/2016 18:25,11/10/2016 18:25,9/18/2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby,Oxygen
2299,Kingston,1/17/2016 13:29,1/17/2016 13:29,9/24/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,xylazine
2300,Milshake,3/2/2016 12:16,3/2/2016 12:16,12/10/2015,Transfer,Partner,Other,Intact Female,2 months,Guinea Pig Mix,Chocolate/White,medetomidine
2301,,9/23/2014 9:00,9/23/2014 9:00,2/15/2014,Transfer,SCRP,Cat,Spayed Female,7 months,Domestic Medium Hair Mix,Torbie,yohimbine
2302,,5/21/2014 12:35,5/21/2014 12:35,4/29/2014,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,tolazoline
2303,,9/29/2014 17:51,9/29/2014 17:51,8/17/2014,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,Anticholinergic
2304,Apollo,12/18/2016 23:06,12/18/2016 23:06,12/14/2014,Adoption,,Dog,Neutered Male,2 years,Pomeranian Mix,Red,Lidocaine
2305,Lucky,11/29/2014 13:50,11/29/2014 13:50,3/23/2013,Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Blue Tick/Brown,Adrenaline
2306,Sampson,12/7/2014 18:26,12/7/2014 18:26,12/5/2012,Return to Owner,,Dog,Neutered Male,2 years,Staffordshire Mix,Chocolate,anaesthetic
2307,*Sugar,4/26/2014 18:17,4/26/2014 18:17,2/13/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,midazolam
2308,,5/29/2014 17:54,5/29/2014 17:54,4/29/2014,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair,Black/White,inflammatory
2309,*Franzi,2/1/2017 13:09,2/1/2017 13:09,1/27/2008,Transfer,Partner,Dog,Spayed Female,9 years,Dachshund,Black/Tan,Opioids
2310,,2/24/2017 17:28,2/24/2017 17:28,12/30/2016,Adoption,Foster,Dog,Neutered Male,1 month,Miniature Schnauzer Mix,Black/White,Crystalloid
2311,Princess,3/19/2014 15:17,3/19/2014 15:17,4/7/2004,Euthanasia,Behavior,Dog,Spayed Female,9 years,Boxer Mix,Red/White,Potassium chloride
2312,,8/11/2018 19:18,8/11/2018 19:18,4/19/2018,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue,gluconate
2313,Eli,8/10/2014 12:20,8/10/2014 12:20,8/1/2012,Transfer,Partner,Dog,Intact Male,2 years,Catahoula/Australian Cattle Dog,Black,mannitol
2314,,3/7/2016 18:31,3/7/2016 18:31,11/5/2015,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White,Dextrose
2315,Taquita,12/14/2013 19:01,12/14/2013 19:01,12/4/2007,Return to Owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Red,Heparin
2316,,9/30/2014 14:11,9/30/2014 14:11,9/8/2014,Euthanasia,Suffering,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,Vitamin K65
2317,Minnie,11/7/2015 17:23,11/7/2015 17:23,11/5/2013,Return to Owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor,isoflurane
2318,Lily,11/25/2016 17:07,11/25/2016 17:07,10/20/2004,Return to Owner,,Dog,Spayed Female,12 years,Miniature Poodle Mix,White/Gray,alfaxalone
2319,,7/15/2014 16:37,7/15/2014 16:37,6/23/2014,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,propofol
2320,Roxy,6/3/2017 13:15,6/3/2017 13:15,12/5/2014,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Blue,hydroxyzine
2321,,4/6/2015 9:37,4/6/2015 9:37,4/5/2012,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown,Colloid
2322,,8/16/2015 9:00,8/16/2015 9:00,5/15/2015,Transfer,SCRP,Cat,Intact Female,3 months,Siamese Mix,Lynx Point,emulsions
2323,*Sapphire,9/2/2016 0:00,9/2/2016 0:00,6/21/2016,Missing,Possible Theft,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue,Amoxicillin
2324,*Maddy,12/6/2014 12:27,12/6/2014 12:27,11/10/2012,Adoption,,Dog,Spayed Female,2 years,Pug/Beagle,Fawn,Clindamycin
2325,Tigger,5/28/2016 17:02,5/28/2016 17:02,1/28/2010,Adoption,,Dog,Neutered Male,6 years,Dachshund Longhair Mix,Blue Merle/Tan,Amoxicillin
2326,Luckey,12/10/2013 18:17,12/10/2013 18:17,12/8/2011,Adoption,,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Blue Tabby,Ampicillin
2327,,8/24/2017 15:55,8/24/2017 15:55,8/17/2017,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby,Cefazolin
2328,,6/14/2017 13:57,6/14/2017 13:57,4/29/2017,Transfer,Partner,Cat,Intact Female,1 month,Siamese Mix,Lynx Point,sulfonamide
2329,Gizmo,5/20/2016 13:06,5/20/2016 13:06,6/5/2015,Return to Owner,,Dog,Neutered Male,11 months,Labrador Retriever Mix,Tricolor,Doxycycline
2330,*Blitzen,1/14/2018 18:39,1/14/2018 18:39,9/30/2017,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,Erythromycin
2331,Marley,12/26/2016 15:10,12/26/2016 15:10,11/29/2015,Transfer,Partner,Dog,Neutered Male,1 year,German Shepherd Mix,Brown,Metronidazole
2332,Buddah,6/26/2015 16:18,6/26/2015 16:18,1/26/2015,Return to Owner,,Dog,Neutered Male,4 months,Wirehaired Pointing Griffon Mix,Black/White,Enrofloxacin
2333,Luke,2/28/2016 14:12,2/28/2016 14:12,1/1/2014,Transfer,Partner,Dog,Neutered Male,2 years,Border Collie Mix,Brown/White,Florfenicol
2334,Fozzy,8/14/2016 14:15,8/14/2016 14:15,8/14/2013,Return to Owner,,Dog,Intact Male,3 years,Collie Smooth Mix,Black/White,Oxygen
2335,,4/23/2016 19:09,4/23/2016 19:09,4/19/2016,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Black/White,xylazine
2336,*Mozart,5/24/2018 16:32,5/24/2018 16:32,4/30/2018,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,medetomidine
2337,Juju Be,2/17/2018 12:42,2/17/2018 12:42,2/5/2015,Adoption,,Cat,Neutered Male,3 years,Domestic Longhair Mix,Orange Tabby/White,yohimbine
2338,*S'Mores,11/20/2014 12:22,11/20/2014 12:22,5/19/2009,Transfer,Partner,Cat,Neutered Male,5 years,Snowshoe/Domestic Shorthair,White/Seal Point,tolazoline
2339,Tex,12/9/2017 12:06,12/9/2017 12:06,6/18/2016,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,White/Tan,Anticholinergic
2340,Pia,4/6/2014 14:27,4/6/2014 14:27,3/28/2013,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,Lidocaine
2341,Animal,3/29/2014 16:51,3/29/2014 16:51,4/24/2012,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Brown Brindle/White,Adrenaline
2342,,7/21/2018 16:58,7/21/2018 16:58,6/29/2018,Transfer,Partner,Dog,Unknown,3 weeks,Chihuahua Shorthair Mix,Tan/White,anaesthetic
2343,Kitty,1/17/2015 15:05,1/17/2015 15:05,1/13/2013,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue/White,midazolam
2344,*Reynaldo,4/21/2015 15:58,4/21/2015 15:58,4/5/2014,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,inflammatory
2345,,9/5/2016 17:53,9/5/2016 17:53,7/4/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Opioids
2346,Sam,8/8/2016 12:58,8/8/2016 12:58,1/17/2016,Return to Owner,,Dog,Neutered Male,6 months,Maltese Mix,White,Crystalloid
2347,*Rufio,11/12/2018 16:03,11/12/2018 16:03,10/31/2017,Transfer,Partner,Dog,Intact Male,1 year,Anatol Shepherd Mix,Tan/Black,Potassium chloride
2348,Khloe,9/28/2014 18:26,9/28/2014 18:26,3/14/2013,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White,gluconate
2349,,8/24/2015 11:00,8/24/2015 11:00,6/6/2014,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black,mannitol
2350,Unique,5/8/2014 16:10,5/8/2014 16:10,5/8/2004,Euthanasia,Suffering,Dog,Intact Female,10 years,Rottweiler Mix,Black/Tan,Dextrose
2351,*Sophie,12/7/2013 15:38,12/7/2013 15:38,8/20/2013,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Heparin
2352,,1/22/2014 15:10,1/22/2014 15:10,1/19/2013,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,Vitamin K66
2353,,10/14/2013 16:05,10/14/2013 16:05,2/13/2013,Transfer,SCRP,Cat,Intact Female,7 months,Domestic Shorthair Mix,Tortie,isoflurane
2354,,4/25/2018 11:11,4/25/2018 11:11,12/9/2017,Transfer,Partner,Dog,Intact Male,4 months,Whippet Mix,Tan/White,alfaxalone
2355,,2/22/2017 8:17,2/22/2017 8:17,2/21/2016,Disposal,,Other,Unknown,1 year,Raccoon Mix,Black/Gray,propofol
2356,Ollie,1/14/2016 18:33,1/14/2016 18:33,1/9/2012,Adoption,,Dog,Neutered Male,4 years,English Bulldog Mix,White,hydroxyzine
2357,,12/12/2013 18:16,12/12/2013 18:16,10/12/2013,Transfer,Partner,Dog,Intact Male,1 month,Border Collie/Labrador Retriever,Black/White,Colloid
2358,,7/4/2015 0:00,7/4/2015 0:00,6/4/2015,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,emulsions
2359,,9/21/2015 15:55,9/21/2015 15:55,8/26/2015,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,Amoxicillin
2360,*Parker,12/19/2013 15:05,12/19/2013 15:05,4/8/2013,Transfer,Partner,Dog,Neutered Male,8 months,Black/Tan Hound/German Shepherd,Black/Tan,Clindamycin
2361,,3/25/2015 9:00,3/25/2015 9:00,10/24/2014,Transfer,SCRP,Cat,Unknown,4 months,Domestic Shorthair Mix,Seal Point,Amoxicillin
2362,,1/3/2018 21:12,1/3/2018 21:12,10/19/2017,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Black,Ampicillin
2363,Rufus,6/17/2014 16:55,6/17/2014 16:55,12/6/2012,Return to Owner,,Dog,Neutered Male,1 year,Miniature Poodle/Cocker Spaniel,Tan,Cefazolin
2364,*Cora,10/8/2016 15:18,10/8/2016 15:18,3/11/2014,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,sulfonamide
2365,Bailey,8/12/2015 14:43,8/12/2015 14:43,7/16/2011,Adoption,,Dog,Spayed Female,4 years,Golden Retriever Mix,Yellow,Doxycycline
2366,,6/25/2017 16:48,6/25/2017 16:48,6/21/2016,Transfer,Partner,Dog,Spayed Female,1 year,Pomeranian Mix,Tan,Erythromycin
2367,Rain,6/3/2018 18:30,6/3/2018 18:30,10/3/2017,Adoption,,Dog,Spayed Female,7 months,Australian Shepherd Mix,White/Brown,Metronidazole
2368,Coco,6/12/2017 15:23,6/12/2017 15:23,5/31/2015,Rto-Adopt,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate/White,Enrofloxacin
2369,Ra,5/1/2016 15:21,5/1/2016 15:21,5/1/2015,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan,Florfenicol
2370,,9/8/2014 18:53,9/8/2014 18:53,9/3/2014,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby,Oxygen
2371,*Brian,10/23/2015 0:00,10/23/2015 0:00,9/10/2015,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black,xylazine
2372,Loverboy,9/14/2014 13:11,9/14/2014 13:11,2/11/2009,Adoption,,Dog,Neutered Male,5 years,Lhasa Apso Mix,Black/White,medetomidine
2373,,11/19/2013 18:59,11/19/2013 18:59,10/1/2013,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Tan,yohimbine
2374,Victoria,5/20/2014 14:29,5/20/2014 14:29,5/10/2007,Transfer,Partner,Dog,Spayed Female,7 years,Shih Tzu,Black/White,tolazoline
2375,*Oso,5/3/2015 17:39,5/3/2015 17:39,4/14/2006,Adoption,,Dog,Neutered Male,9 years,Alaskan Husky/Border Collie,Black/White,Anticholinergic
2376,Daisy,3/21/2018 16:59,3/21/2018 16:59,1/17/2018,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tan,Lidocaine
2377,,4/23/2017 14:06,4/23/2017 14:06,6/23/2016,Euthanasia,Medical,Other,Unknown,9 months,Squirrel Mix,Brown/Gray,Adrenaline
2378,Jaco,3/9/2017 16:57,3/9/2017 16:57,10/4/2006,Return to Owner,,Dog,Neutered Male,10 years,Labrador Retriever/Chow Chow,Black,anaesthetic
2379,Peaches,9/29/2017 10:49,9/29/2017 10:49,9/17/2014,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,White/Brown,midazolam
2380,*Blake,7/30/2018 17:55,7/30/2018 17:55,7/19/2011,Transfer,Snr,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Silver Tabby,inflammatory
2381,*Carlisle,10/25/2017 16:21,10/25/2017 16:21,8/4/2017,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White,Opioids
2382,Chloe,6/26/2017 16:00,6/26/2017 16:00,6/19/2015,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu/Toy Poodle,White/Black,Crystalloid
2383,,5/25/2018 15:09,5/25/2018 15:09,5/21/2017,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,Potassium chloride
2384,,10/1/2014 7:54,10/1/2014 7:54,8/21/2014,Euthanasia,Rabies Risk,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/Calico,gluconate
2385,Slinky,2/12/2017 18:24,2/12/2017 18:24,4/12/2016,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black/Orange,mannitol
2386,Mulder,2/22/2015 17:52,2/22/2015 17:52,1/29/2014,Transfer,Partner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black,Dextrose
2387,Bubush,5/19/2015 12:34,5/19/2015 12:34,5/18/1997,Euthanasia,Suffering,Cat,Neutered Male,18 years,Domestic Longhair Mix,White/Black,Heparin
2388,*Judy,8/13/2017 17:51,8/13/2017 17:51,4/3/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue/White,Vitamin K67
2389,Toby,8/1/2015 19:25,8/1/2015 19:25,7/29/2006,Adoption,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Tan,isoflurane
2390,,6/11/2014 19:03,6/11/2014 19:03,6/9/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Longhair Mix,Orange Tabby/White,alfaxalone
2391,Archie,5/10/2014 18:46,5/10/2014 18:46,4/30/2012,Return to Owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown,propofol
2392,Tango,2/12/2014 17:11,2/12/2014 17:11,7/26/1999,Return to Owner,,Dog,Neutered Male,14 years,Vizsla,Red,hydroxyzine
2393,Boy,6/29/2016 11:33,6/29/2016 11:33,6/2/2014,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,Colloid
2394,Tigre,5/5/2015 18:22,5/5/2015 18:22,5/4/2010,Return to Owner,,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White,emulsions
2395,Bluebell,5/23/2017 17:38,5/23/2017 17:38,1/4/2015,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Black Brindle,Amoxicillin
2396,Pemi,9/4/2016 17:54,9/4/2016 17:54,6/19/2016,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor,Clindamycin
2397,*Pete,5/31/2014 16:11,5/31/2014 16:11,3/15/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,Amoxicillin
2398,Ginger,1/19/2014 14:43,1/19/2014 14:43,2/9/2012,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,Brown Brindle/White,Ampicillin
2399,Snow White,12/10/2013 14:51,12/10/2013 14:51,12/10/2010,Adoption,,Dog,Spayed Female,3 years,Pomeranian Mix,White/Brown,Cefazolin
2400,*Rafael,6/20/2017 14:28,6/20/2017 14:28,6/5/2016,Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Brown,sulfonamide
2401,Oliver,2/23/2018 15:00,2/23/2018 15:00,2/21/2017,Adoption,,Dog,Neutered Male,1 year,Airedale Terrier/Otterhound,Tan,Doxycycline
2402,,1/13/2019 17:03,1/13/2019 17:03,1/7/2017,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,Erythromycin
2403,Winston,6/3/2014 12:26,6/3/2014 12:26,6/1/2000,Transfer,Partner,Dog,Neutered Male,14 years,Dachshund,Red/White,Metronidazole
2404,Khaleesi,7/9/2016 18:40,7/9/2016 18:40,4/6/2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,Enrofloxacin
2405,*Teddy,12/27/2013 15:49,12/27/2013 15:49,10/21/2012,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,Florfenicol
2406,*Davila,11/10/2016 0:00,11/10/2016 0:00,1/23/2016,Return to Owner,,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Black/White,Oxygen
2407,,4/21/2015 18:55,4/21/2015 18:55,4/6/2015,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,xylazine
2408,*Joey,5/31/2017 10:41,5/31/2017 10:41,5/14/2016,Transfer,Partner,Dog,Neutered Male,1 year,Pointer Mix,White/Brown,medetomidine
2409,Monday,6/29/2017 14:14,6/29/2017 14:14,4/27/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,yohimbine
2410,,3/16/2014 12:09,3/16/2014 12:09,9/11/2013,Disposal,,Other,Unknown,6 months,Bat Mix,Brown,tolazoline
2411,Max,3/12/2017 17:29,3/12/2017 17:29,3/9/2016,Return to Owner,,Dog,Intact Male,1 year,Bichon Frise Mix,White,Anticholinergic
2412,,1/3/2015 17:24,1/3/2015 17:24,12/22/2012,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,Lidocaine
2413,*Clover,9/16/2017 14:44,9/16/2017 14:44,9/6/2016,Adoption,Offsite,Dog,Neutered Male,1 year,Boxer Mix,Tan/White,Adrenaline
2414,,6/6/2018 18:40,6/6/2018 18:40,6/3/2017,Adoption,,Dog,Neutered Male,1 year,Cairn Terrier Mix,Cream/White,anaesthetic
2415,,11/8/2014 17:49,11/8/2014 17:49,2/4/2014,Adoption,,Dog,Neutered Male,9 months,Bruss Griffon Mix,Buff,midazolam
2416,*Louie,4/20/2017 12:17,4/20/2017 12:17,8/2/2014,Transfer,Partner,Dog,Neutered Male,2 years,Field Spaniel/Cocker Spaniel,Tan/White,inflammatory
2417,,7/31/2015 14:33,7/31/2015 14:33,2/12/2015,Transfer,Partner,Dog,Intact Female,5 months,Pit Bull Mix,Blue/White,Opioids
2418,Spruce,7/17/2014 17:55,7/17/2014 17:55,4/28/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,Crystalloid
2419,Duke,9/27/2014 17:29,9/27/2014 17:29,8/22/2010,Adoption,,Dog,Neutered Male,4 years,Catahoula Mix,White/Tan,Potassium chloride
2420,,10/4/2017 17:18,10/4/2017 17:18,9/30/2016,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,gluconate
2421,Chapeau,1/29/2016 13:25,1/29/2016 13:25,7/19/2015,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,White/Blue,mannitol
2422,,9/19/2017 18:36,9/19/2017 18:36,9/12/2017,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Orange Tabby,Dextrose
2423,*Cleveland,8/8/2016 17:55,8/8/2016 17:55,5/22/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Heparin
2424,,5/12/2017 17:07,5/12/2017 17:07,5/7/2017,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Brown Tabby,Vitamin K68
2425,,6/9/2018 17:29,6/9/2018 17:29,6/4/2016,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair Mix,Seal Point/White,isoflurane
2426,Jessica,6/16/2017 14:07,6/16/2017 14:07,6/26/2007,Adoption,,Dog,Spayed Female,9 years,Shetland Sheepdog Mix,Black,alfaxalone
2427,,3/24/2015 17:28,3/24/2015 17:28,3/24/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown,propofol
2428,*Lucy,11/30/2014 14:21,11/30/2014 14:21,11/13/2013,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow/White,hydroxyzine
2429,Clifford,11/26/2016 13:39,11/26/2016 13:39,9/17/2015,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow,Colloid
2430,,8/31/2014 9:00,8/31/2014 9:00,4/15/2014,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Orange Tabby/White,emulsions
2431,*Maria,1/24/2015 11:27,1/24/2015 11:27,10/29/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Amoxicillin
2432,,9/29/2016 15:48,9/29/2016 15:48,7/26/2016,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,Clindamycin
2433,*Myrtle,3/9/2014 14:43,3/9/2014 14:43,6/4/2012,Adoption,,Dog,Spayed Female,1 year,Vizsla Mix,Red/White,Amoxicillin
2434,,12/26/2017 13:39,12/26/2017 13:39,12/26/2014,Euthanasia,Medical,Other,Intact Male,3 years,Opossum Mix,White/Gray,Ampicillin
2435,Zoe,5/19/2015 13:19,5/19/2015 13:19,12/26/2011,Adoption,,Dog,Spayed Female,3 years,Beagle Mix,Brown/White,Cefazolin
2436,*Petey,3/21/2014 17:16,3/21/2014 17:16,9/3/2012,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White,sulfonamide
2437,Chico,9/8/2014 17:28,9/8/2014 17:28,3/4/2014,Adoption,,Dog,Neutered Male,6 months,Chihuahua Shorthair/Miniature Pinscher,Tan/Black,Doxycycline
2438,,11/22/2017 12:21,11/22/2017 12:21,1/19/2017,Transfer,Partner,Cat,Intact Male,10 months,Domestic Medium Hair Mix,Cream Tabby,Erythromycin
2439,Tupac,5/27/2017 14:24,5/27/2017 14:24,6/26/2015,Adoption,Offsite,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,Metronidazole
2440,Porsche,2/22/2017 0:00,2/22/2017 0:00,7/16/2016,Transfer,Partner,Dog,Intact Female,7 months,Pit Bull Mix,Fawn/White,Enrofloxacin
2441,,8/19/2018 22:09,8/19/2018 22:09,8/15/2014,Adoption,,Dog,Neutered Male,4 years,Chihuahua Longhair/Beagle,Brown/White,Florfenicol
2442,,6/25/2015 12:06,6/25/2015 12:06,6/3/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Oxygen
2443,,11/3/2018 7:37,11/3/2018 7:37,10/18/2018,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,xylazine
2444,Kona,12/18/2013 16:43,12/18/2013 16:43,7/11/2013,Adoption,,Dog,Spayed Female,5 months,Labrador Retriever/Flat Coat Retriever,Black,medetomidine
2445,,6/15/2017 15:02,6/15/2017 15:02,5/8/2017,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Tortie,yohimbine
2446,,7/30/2015 17:49,7/30/2015 17:49,5/11/2015,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue,tolazoline
2447,*Zooey,4/12/2016 18:41,4/12/2016 18:41,11/13/2015,Adoption,,Dog,Spayed Female,4 months,Australian Cattle Dog Mix,White/Black,Anticholinergic
2448,Bentley,3/29/2018 13:04,3/29/2018 13:04,3/29/2017,Return to Owner,,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White,Lidocaine
2449,Milo,11/25/2018 11:33,11/25/2018 11:33,9/4/2018,Euthanasia,At Vet,Dog,Intact Male,2 months,Shih Tzu Mix,Tan/Black,Adrenaline
2450,*Mylo,4/26/2016 13:42,4/26/2016 13:42,4/21/2014,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate,anaesthetic
2451,Springdale,11/14/2014 15:12,11/14/2014 15:12,12/22/2009,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow,midazolam
2452,*Zuri,8/9/2018 6:30,8/9/2018 6:30,8/7/2011,Transfer,Partner,Cat,Intact Female,7 years,Domestic Shorthair Mix,Brown Tabby/White,inflammatory
2453,,12/18/2016 12:35,12/18/2016 12:35,12/12/2016,Transfer,Partner,Dog,Intact Male,6 days,Labrador Retriever/Pit Bull,Tan/Black,Opioids
2454,,1/26/2018 14:16,1/26/2018 14:16,4/22/2017,Transfer,Snr,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby,Crystalloid
2455,Pumpkin,10/25/2014 12:47,10/25/2014 12:47,8/30/2014,Adoption,Foster,Dog,Spayed Female,1 month,Golden Retriever Mix,Brown,Potassium chloride
2456,*Smith,11/28/2014 14:01,11/28/2014 14:01,11/21/2002,Transfer,Partner,Dog,Neutered Male,12 years,Miniature Poodle Mix,White,gluconate
2457,Kaiser,4/6/2015 17:29,4/6/2015 17:29,3/28/2013,Adoption,,Dog,Neutered Male,2 years,Manchester Terrier Mix,Brown Brindle,mannitol
2458,*Bahn Mi,8/24/2017 17:31,8/24/2017 17:31,6/16/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,Dextrose
2459,Mr. Kitty,11/24/2015 12:17,11/24/2015 12:17,4/29/2014,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,Heparin
2460,Pepper,3/15/2014 18:40,3/15/2014 18:40,3/15/2000,Return to Owner,,Dog,Neutered Male,14 years,Miniature Schnauzer Mix,Silver/Tan,Vitamin K69
2461,Sally,8/8/2018 19:00,8/8/2018 19:00,2/26/2006,Adoption,,Dog,Spayed Female,12 years,Basset Hound/Beagle,Brown/White,isoflurane
2462,*Ian,6/17/2015 12:39,6/17/2015 12:39,5/6/2015,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,alfaxalone
2463,Nasha,3/4/2016 19:00,3/4/2016 19:00,3/4/2014,Return to Owner,,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White,propofol
2464,*Tulla,11/25/2016 18:06,11/25/2016 18:06,9/27/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,hydroxyzine
